time,br_temp,br_humi,ma_temp,ma_humi,meter0_power_L123,meter2_power_L123,meter2_power_L123
2022-06-04 04:02:00+02:00,22.0357,46.95,22.4128,47.1023,28.972,0.0,0.0
2022-06-04 04:03:00+02:00,22.0276,46.95,22.4128,47.0626,22.3518,0.0,0.0
2022-06-04 04:04:00+02:00,22.0384,46.95,22.4097,46.9985,29.9847,0.0,0.0
2022-06-04 04:05:00+02:00,22.033,46.94,22.4036,46.9955,26.9053,0.0,0.0
2022-06-04 04:06:00+02:00,22.0303,46.94,22.4052,47.1053,126.058,0.0,0.0
2022-06-04 04:07:00+02:00,22.033,46.94,22.4021,47.1053,117.548,0.0,0.0
2022-06-04 04:08:00+02:00,22.0222,46.94,22.4021,47.0901,109.82,0.0,0.0
2022-06-04 04:09:00+02:00,22.029,46.94,22.4006,47.1053,107.726,0.0,0.0
2022-06-04 04:10:00+02:00,22.0208,46.94,22.3991,46.9985,107.181,0.0,0.0
2022-06-04 04:11:00+02:00,22.0249,46.94,22.396,46.9955,106.693,0.0,0.0
2022-06-04 04:12:00+02:00,22.0182,46.94,22.396,46.9985,100.137,0.0,0.0
2022-06-04 04:13:00+02:00,22.0195,46.94,22.396,46.9985,101.491,0.0,0.0
2022-06-04 04:14:00+02:00,22.0263,46.94,22.396,46.9985,96.3452,0.0,0.0
2022-06-04 04:15:00+02:00,22.0087,46.94,22.393,47.0443,100.438,0.0,0.0
2022-06-04 04:16:00+02:00,22.0127,46.94,22.3884,47.0931,97.8294,0.0,0.0
2022-06-04 04:17:00+02:00,22.0127,46.94,22.393,46.9985,95.4994,0.0,0.0
2022-06-04 04:18:00+02:00,22.01,46.94,22.3869,46.9985,98.5789,0.0,0.0
2022-06-04 04:19:00+02:00,22.0127,46.94,22.3838,46.9985,32.1015,0.0,0.0
2022-06-04 04:20:00+02:00,22.0127,46.96,22.3838,47.0962,31.2532,0.0,0.0
2022-06-04 04:21:00+02:00,22.0182,46.94,22.3853,47.0901,34.4017,0.0,0.0
2022-06-04 04:22:00+02:00,22.01,46.94,22.3807,46.9955,34.4017,0.0,0.0
2022-06-04 04:23:00+02:00,22.0033,46.94,22.3777,47.0962,30.4034,0.0,0.0
2022-06-04 04:24:00+02:00,22.0033,46.94,22.3823,47.0962,33.1588,0.0,0.0
2022-06-04 04:25:00+02:00,22.0019,46.94,22.3792,46.9863,27.3611,0.0,0.0
2022-06-04 04:26:00+02:00,22.0005,46.94,22.3777,46.9863,33.8398,0.0,0.0
2022-06-04 04:27:00+02:00,21.9965,46.94,22.3746,47.0962,33.6503,0.0,0.0
2022-06-04 04:28:00+02:00,21.9911,46.94,22.3731,47.1023,31.421,0.0,0.0
2022-06-04 04:29:00+02:00,21.9884,46.94,22.3731,47.0962,33.7694,0.0,0.0
2022-06-04 04:30:00+02:00,21.987,47.0,22.3716,47.1053,28.2907,0.0,0.0
2022-06-04 04:31:00+02:00,21.983,46.98,22.364,47.1877,32.8137,0.0,0.0
2022-06-04 04:32:00+02:00,21.9803,46.95,22.3655,47.0962,32.8446,0.0,0.0
2022-06-04 04:33:00+02:00,21.9816,46.96,22.364,47.0962,29.2705,0.0,0.0
2022-06-04 04:34:00+02:00,21.9762,47.01,22.3594,47.0962,21.5959,0.0,0.0
2022-06-04 04:35:00+02:00,21.9708,47.01,22.3579,47.0962,32.5366,0.0,0.0
2022-06-04 04:36:00+02:00,21.9776,47.02,22.3609,47.0962,33.5478,0.0,0.0
2022-06-04 04:37:00+02:00,21.9681,47.0,22.3533,47.0962,33.558,0.0,0.0
2022-06-04 04:38:00+02:00,21.9708,46.95,22.3533,47.1053,28.6519,0.0,0.0
2022-06-04 04:39:00+02:00,21.9681,47.01,22.3487,47.1908,29.7379,0.0,0.0
2022-06-04 04:40:00+02:00,21.9586,47.0,22.3502,47.1908,30.1105,0.0,0.0
2022-06-04 04:41:00+02:00,21.964,46.95,22.3441,47.1877,34.5026,0.0,0.0
2022-06-04 04:42:00+02:00,21.9667,46.94,22.3411,47.1908,34.4431,0.0,0.0
